country,year,regime,defence_gdp,threat_land_log,threat_score_log,debt_gdp,deficit_gdp,gdp_growth,immigration_rate,gov_left_right,gov_eu_position,election_year
BE,1995,1,1.5446405538339,4.8136183187583095,5.0173888837177065,131.286047,-4.50848,NA,NA,4.386168292682926,8.446514634146341,1
BE,1996,1,1.51931684175109,0.43306260511074873,2.5849672912280526,129.003957,-4.002557,1.3,NA,4.386168292682926,8.446514634146341,0
BE,1997,1,1.4578661900969,0.20829734692113208,2.6593774952156735,124.271199,-2.151218,3.8,NA,4.386168292682926,8.446514634146341,0
BE,1998,1,1.41739581246631,2.271951313676346,3.7081450862320224,119.185897,-1.025131,2,8.22309940166385,4.386168292682926,8.446514634146341,0
BE,1999,1,1.39393068975137,2.70147973224112,3.4361889269441503,115.361854,-0.648183,3.5,8.97065055035603,4.658259574468085,8.283031914893618,1
BE,2000,1,1.35086536826323,0.06997925409458881,2.7339010514132287,109.589041,-0.079454,3.7,8.730076955118548,4.658259574468085,8.283031914893618,0
BE,2001,1,1.28352328807131,0.9923201054547546,2.23859592527905,108.216846,0.232773,1.1,10.757628991678597,4.658259574468085,8.283031914893618,0
BE,2002,1,1.22376131677303,0.13370011478011895,2.354577648442591,105.43668,-0.043549,1.7,11.043650533840621,4.658259574468085,8.283031914893618,0
BE,2003,1,1.22119401053058,0,2.5870472774661395,101.659311,-1.86404,1,10.820943227804513,4.98761443298969,8.22531443298969,1
BE,2004,1,1.15659439046667,0.00751767581737449,2.4966656722405776,97.169665,-0.238629,3.6,11.276572966793092,4.98761443298969,8.22531443298969,0
BE,2005,2,1.09664118158572,0.05139707425514198,1.8165280507523798,95.14187,-2.715128,2.3,12.714137630898849,4.98761443298969,8.22531443298969,0
BE,2006,2,1.05612306878486,0.009417959531940015,2.0484384470523076,91.494413,0.239704,2.6,13.099990086936236,4.98761443298969,8.22531443298969,0
BE,2007,2,1.09801876439276,0,2.351815741354074,87.324624,0.066556,3.7,13.832351995846015,5.73790198019802,8.398218811881188,1
BE,2008,2,1.22191451658895,0,2.107274899429187,93.159779,-1.09543,0.4,NA,5.597470212765957,8.552659574468086,0
BE,2009,2,1.16353003394252,0.09422071951756705,2.4714838024230343,99.853049,-5.447625,-1.9,NA,5.597470212765957,8.552659574468086,0
BE,2010,2,1.09018110220613,0,1.950765501335749,100.245016,-4.13325,2.7,12.479906419844086,4.9158414285714285,8.450742857142858,1
BE,2011,2,1.04450113453523,0.008044637462952958,2.742496450955096,102.735335,-4.441435,1.9,13.39713205724977,4.91728817204301,8.421448387096774,0
BE,2012,2,1.0370296665755,0.04577225038782138,3.685883200375794,104.334736,-4.348423,0.2,11.689987142341352,4.91728817204301,8.421448387096774,0
BE,2013,2,1.0045200869807,0.012572835354823184,3.954716633248286,105.032475,-3.16365,0.3,10.780955315571754,4.91728817204301,8.421448387096774,0
BE,2014,3,0.966272329768275,0.3563600846521958,4.117908429312421,106.554985,-3.175186,1.8,11.01509367811363,5.100331958762887,8.43209175257732,1
BE,2015,3,0.911829965009217,0,3.7924679505354195,105.572054,-2.475417,1.5,13.048182326069472,5.100331958762887,8.43209175257732,0
BE,2016,3,0.898085290562566,0.08083167114752496,3.6008559699227276,105.475101,-2.430946,1.2,10.9363204359039,5.100331958762887,8.43209175257732,0
BE,2017,3,0.886837200658898,0.048430159518910935,3.0978939457602146,102.485296,-0.763247,1.5,11.161561584417948,5.100331958762887,8.43209175257732,0
BE,2018,3,0.892442476666613,0.01459447787153161,2.4458580956648976,100.078347,-1.048288,1.9,12.094479413197545,6.454861538461539,8.63073076923077,0
BE,2019,3,0.887004950933882,0.38808537506306173,2.755000795366101,97.572615,-2.047947,2.4,13.09464896352579,6.497594736842106,8.633647368421052,1
