country,year,regime,threat_land_log,threat_score_log,gpr_mean
BE,1995,1,4.8136183187583095,5.0173888837177065,0.11314805597066879
BE,1996,1,0.43306260511074873,2.5849672912280526,0.07617359142750502
BE,1997,1,0.20829734692113208,2.6593774952156735,0.06431070311615865
BE,1998,1,2.271951313676346,3.7081450862320224,0.07445208045343558
BE,1999,1,2.70147973224112,3.4361889269441503,0.15559601923450828
BE,2000,1,0.06997925409458881,2.7339010514132287,0.05779601292063793
BE,2001,1,0.9923201054547546,2.23859592527905,0.19135946780443192
BE,2002,1,0.13370011478011895,2.354577648442591,0.11188938406606515
BE,2003,1,0,2.5870472774661395,0.15267304268976054
BE,2004,1,0.00751767581737449,2.4966656722405776,0.10589413282771905
BE,2005,2,0.05139707425514198,1.8165280507523798,0.12139122343311708
BE,2006,2,0.009417959531940015,2.0484384470523076,0.08966390912731488
BE,2007,2,0,2.351815741354074,0.07479996078958114
BE,2008,2,0,2.107274899429187,0.08085555567716558
BE,2009,2,0.09422071951756705,2.4714838024230343,0.07508732409526904
BE,2010,2,0,1.950765501335749,0.07228156163667639
BE,2011,2,0.008044637462952958,2.742496450955096,0.12301860004663467
BE,2012,2,0.04577225038782138,3.685883200375794,0.0817495856123666
BE,2013,2,0.012572835354823184,3.954716633248286,0.08308299165219069
BE,2014,3,0.3563600846521958,4.117908429312421,0.20464909759660563
BE,2015,3,0,3.7924679505354195,0.1993967288484176
BE,2016,3,0.08083167114752496,3.6008559699227276,0.33036835057040054
BE,2017,3,0.048430159518910935,3.0978939457602146,0.18291490152478218
BE,2018,3,0.01459447787153161,2.4458580956648976,0.2437701461215814
BE,2019,3,0.38808537506306173,2.755000795366101,0.1660389006137848
BE,2020,3,0.005223946754842562,2.282515600973793,0.15386363739768663
BE,2021,3,0.012740143973109633,1.6312524346265427,0.22562658910950026
BE,2022,4,4.114809691391569,4.929702267263786,0.4924064017832279
BE,2023,4,4.002938589941859,5.233319318410078,0.21391233367224535
DE,1995,1,5.934835624907237,6.0454636252837926,0.3496176525950432
DE,1996,1,0.4140736155859109,3.0788372971232727,0.21088228933513165
DE,1997,1,0.5438355063212762,3.1199662673883735,0.1390516199171543
DE,1998,1,3.335303564055038,4.294308996822714,0.22553262362877527
DE,1999,1,3.7966255857694877,4.235946226775045,0.313236220429341
