country,year,threat_land_log,gpr_mean
BE,2010,0,0.07228156163667639
BE,2011,0.008044637462952958,0.12301860004663467
BE,2012,0.04577225038782138,0.0817495856123666
BE,2013,0.012572835354823184,0.08308299165219069
BE,2014,0.3563600846521958,0.20464909759660563
BE,2015,0,0.1993967288484176
BE,2016,0.08083167114752496,0.33036835057040054
BE,2017,0.048430159518910935,0.18291490152478218
BE,2018,0.01459447787153161,0.2437701461215814
BE,2019,0.38808537506306173,0.1660389006137848
BE,2020,0.005223946754842562,0.15386363739768663
BE,2021,0.012740143973109633,0.22562658910950026
BE,2022,4.114809691391569,0.4924064017832279
BE,2023,4.002938589941859,0.21391233367224535
DE,2010,0,0.26521002252896625
DE,2011,0.024838557995980195,0.26031916836897534
DE,2012,0.14988532073976377,0.24035267159342766
DE,2013,0.0447605828530324,0.2836620956659317
DE,2014,0.9013370004906365,0.5414480517307917
DE,2015,0,0.5209106157223383
DE,2016,0.262685839207777,0.4493142068386078
DE,2017,0.14439870073478955,0.46934999773899716
DE,2018,0.04721059768530739,0.5053521282970905
DE,2019,0.2619989763723933,0.4287399301926295
DE,2020,0.016171374782009536,0.4226485478381316
DE,2021,0.045721313944537594,0.4357735564311345
DE,2022,5.324688397982566,1.2530546933412552
DE,2023,5.2091666012313516,0.6279067223270735
DK,2010,0,0.0389659656987836
DK,2011,0.008418149861239514,0.027279924950562418
DK,2012,0.14158057927418347,0.01423679618164897
DK,2013,0.053555963269718815,0.01802899152971804
DK,2014,0.8294767525858063,0.029561698359126847
DK,2015,0,0.04935723706148565
DK,2016,0.2917319096305395,0.03174634510651231
DK,2017,0.05262023499014784,0.02233479292287181
DK,2018,0.030141272374550106,0.04015490311818818
DK,2019,0.15892846666097002,0.037781894051780306
DK,2020,0.024763997483557537,0.022560846681396168
DK,2021,0.05578242378144579,0.03684832667931914
DK,2022,5.175782570927063,0.09401815881331761
DK,2023,5.0505339402027545,0.07138915771308045
ES,2010,0,0.07601998032381137
ES,2011,0.011534809733647068,0.07385711682339509
ES,2012,0.0270766516540734,0.06580955566217501
ES,2013,0.003001195509798064,0.04202497641866406
ES,2014,0.1323591530551187,0.07133171086510022
ES,2015,0,0.09321073380609353
ES,2016,0.03035438206827334,0.08738826618840297
ES,2017,0.06495476353591792,0.11309835904588302
ES,2018,0.013883967333577366,0.0637620532264312
ES,2019,0.10655022880146942,0.08879956137388945
ES,2020,7.41784816121914e-4,0.08954281825572252
ES,2021,0.0027627052276685835,0.05580771869669358
ES,2022,3.107377788515857,0.16942768978575865
ES,2023,3.022747559722821,0.11166179242233436
FI,2010,0,0.014926115283742547
FI,2011,0.004275783585612639,0.022367472857392084
FI,2012,0.3692900162890535,0.012843811069615185
FI,2013,0.18998989349495649,0.013060124008916318
FI,2014,0.8644665685675528,0.024747642028766375
FI,2015,0,0.018355236776793998
FI,2016,1.004618063475312,0.018662520063420136
FI,2017,0.02753421207501771,0.020611466684689123
FI,2018,0.09618869703994916,0.08129480399657041
FI,2019,0.025575872704996633,0.028114988196951646
FI,2020,0.4089780093441728,0.024850897025316954
FI,2021,0.1999679923636216,0.027537365444004536
FI,2022,5.325210013054086,0.2336483852316936
FI,2023,5.248426013343799,0.10712395949910085
FR,2010,0,0.30200184881687164
FR,2011,0.025698499892321917,0.5031813060243925
FR,2012,0.07676624796696996,0.3687548985083898
FR,2013,0.013279283169719765,0.4823317254583041
FR,2014,0.41555194176667054,0.4922422344485919
FR,2015,0,0.9657821903626124
FR,2016,0.10094660815199029,0.7489193926254908
FR,2017,0.14275601795254442,0.551187368730704
FR,2018,0.03443196013935392,0.5586947947740555
FR,2019,0.4191014906269849,0.48658857494592667
FR,2020,0.004138315855336756,0.45104282225171727
FR,2021,0.012857423629639597,0.47776849443713826
FR,2022,4.312328859747507,0.920625165104866
FR,2023,4.205682332252502,0.5891667132576307
GB,2010,0,0.8638160824775696
GB,2011,0.003910634914687284,0.9524019360542297
GB,2012,0.030113040191097663,0.8371571699778239
GB,2013,0.009971024096438592,0.9031898925701777
GB,2014,0.21592869583748303,1.0265032400687535
